,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,5Y,Longevity,Longevity in drafted franchise
Johnny Macknowski,77436,1949,00,1610612755,SYR,27.0,59,0,0.0,2.610169491525424,7.8474576271186445,0.333,0.0,0.0,0,2.2203389830508473,3.016949152542373,0.736,0.0,0.0,0.0,1.1016949152542372,0.0,0.0,0.0,2.169491525423729,7.440677966101695,False,2,2
Daryl Macon,1629133,2018,00,1610612742,DAL,23.0,8,0,11.25,1.25,3.375,0.37,0.625,1.375,0.455,0.5,0.875,0.571,0.25,1.25,1.5,0.875,0.125,0.0,0.75,1.0,3.625,False,2,1
Mark Macon,1855,1991,00,1610612743,DEN,23.0,76,67,30.31578947368421,4.381578947368421,11.697368421052632,0.375,0.05263157894736842,0.39473684210526316,0.133,1.7763157894736843,2.4342105263157894,0.73,1.0526315789473684,1.8421052631578947,2.8947368421052633,2.210526315789474,2.026315789473684,0.18421052631578946,2.039473684210526,3.1842105263157894,10.592105263157896,True,6,3
J.P. Macura,1629122,2018,00,1610612766,CHA,24.0,2,0,8.5,1.5,4.5,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,3.0,False,2,1
Kyle Macy,77438,1980,00,1610612756,PHX,24.0,82,0,17.914634146341463,3.317073170731707,6.487804878048781,0.511,0.14634146341463414,0.6219512195121951,0.235,1.3048780487804879,1.451219512195122,0.899,0.5365853658536586,1.0731707317073171,1.6097560975609757,1.951219512195122,0.926829268292683,0.06097560975609756,1.1585365853658536,1.4634146341463414,8.085365853658537,True,7,5
Jack Maddox,77439,1948,00,1610610029,JET,27.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,1,1
Tito Maddox,2432,2002,00,1610612745,HOU,22.0,9,0,3.7777777777777777,0.3333333333333333,1.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.5555555555555556,0.8888888888888888,0.625,0.1111111111111111,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444,1.2222222222222223,False,1,1
Gerald Madkins,1666,1993,00,1610612739,CLE,25.0,22,0,6.7727272727272725,0.5,1.4090909090909092,0.355,0.22727272727272727,0.6818181818181818,0.333,0.36363636363636365,0.45454545454545453,0.8,0.045454545454545456,0.45454545454545453,0.5,0.8636363636363636,0.4090909090909091,0.0,0.5909090909090909,0.7272727272727273,1.5909090909090908,False,3,2
Mark Madsen,2058,2000,00,1610612747,LAL,25.0,70,3,9.157142857142857,0.7857142857142857,1.6142857142857143,0.487,0.014285714285714285,0.014285714285714285,1.0,0.37142857142857144,0.5285714285714286,0.703,1.0571428571428572,1.1142857142857143,2.1714285714285713,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.38571428571428573,1.5857142857142856,1.957142857142857,True,9,3
Norm Mager,77441,1950,00,1610610024,BAL,25.0,24,0,0.0,1.6666666666666667,5.916666666666667,0.282,0.0,0.0,0,1.8333333333333333,2.3333333333333335,0.786,0.0,0.0,1.9583333333333333,0.9166666666666666,0.0,0.0,0.0,2.8333333333333335,5.166666666666667,False,1,1
Josh Magette,203705,2017,00,1610612737,ATL,28.0,18,0,12.0,0.8333333333333334,2.5555555555555554,0.326,0.4444444444444444,1.2222222222222223,0.364,0.4444444444444444,0.4444444444444444,1.0,0.1111111111111111,0.9444444444444444,1.0555555555555556,3.1666666666666665,0.4444444444444444,0.05555555555555555,0.5,0.8888888888888888,2.5555555555555554,False,2,1
Corey Maggette,1894,1999,00,1610612753,ORL,20.0,77,5,17.792207792207794,2.909090909090909,6.090909090909091,0.478,0.025974025974025976,0.14285714285714285,0.182,2.5454545454545454,3.3896103896103895,0.751,1.5974025974025974,2.3376623376623376,3.935064935064935,0.7922077922077922,0.3116883116883117,0.33766233766233766,1.7922077922077921,2.1948051948051948,8.38961038961039,True,14,1
Dave Magley,77442,1982,00,1610612739,CLE,23.0,14,0,4.0,0.2857142857142857,1.1428571428571428,0.25,0.0,0.07142857142857142,0.0,0.2857142857142857,0.5714285714285714,0.5,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.35714285714285715,0.8571428571428571,False,1,1
Jamaal Magloire,2048,2000,00,1610612766,CHH,23.0,74,0,14.797297297297296,1.6486486486486487,3.6621621621621623,0.45,0.0,0.02702702702702703,0.0,1.2837837837837838,1.9594594594594594,0.655,1.3918918918918919,2.5945945945945947,3.9864864864864864,0.36486486486486486,0.24324324324324326,1.054054054054054,0.8243243243243243,1.8783783783783783,4.581081081081081,True,12,2
Will Magnay,1630266,2020,00,1610612740,NOP,23.0,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,1,1
Ian Mahinmi,101133,2007,00,1610612759,SAS,21.0,6,0,3.8333333333333335,1.0,2.0,0.5,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.5,True,12,2
John Mahnken,77443,1946,00,1610610036,WAS,25.0,60,0,0.0,3.716666666666667,14.6,0.255,0.0,0.0,0,1.85,2.716666666666667,0.681,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0166666666666666,9.283333333333333,True,7,2
Francis Mahoney,77444,1952,00,1610612738,BOS,25.0,6,0,5.666666666666667,0.6666666666666666,1.6666666666666667,0.4,0.0,0.0,0,0.6666666666666666,0.8333333333333334,0.8,0.0,0.0,1.1666666666666667,0.16666666666666666,0.0,0.0,0.0,1.1666666666666667,2.0,False,2,1
Rick Mahorn,328,1980,00,1610612764,WAS,22.0,52,11,13.384615384615385,2.1346153846153846,4.211538461538462,0.507,0.0,0.0,0.0,0.5192307692307693,0.7692307692307693,0.675,1.2884615384615385,2.8461538461538463,4.134615384615385,0.4807692307692308,0.40384615384615385,0.8461538461538461,0.7307692307692307,2.576923076923077,4.788461538461538,True,18,5
Dan Majerle,105,1988,00,1610612756,PHX,23.0,54,5,25.074074074074073,3.3518518518518516,8.0,0.419,0.5,1.5185185185185186,0.329,1.4444444444444444,2.3518518518518516,0.614,1.1481481481481481,2.7222222222222223,3.8703703703703702,2.4074074074074074,1.1666666666666667,0.25925925925925924,0.8888888888888888,2.574074074074074,8.648148148148149,True,14,8
Renaldo Major,200970,2006,00,1610612744,GSW,25.0,1,0,27.0,2.0,10.0,0.2,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,False,1,1
Thon Maker,1627748,2016,00,1610612749,MIL,20.0,57,34,9.859649122807017,1.456140350877193,3.175438596491228,0.459,0.49122807017543857,1.2982456140350878,0.378,0.5614035087719298,0.8596491228070176,0.653,0.7017543859649122,1.2982456140350878,2.0,0.40350877192982454,0.17543859649122806,0.45614035087719296,0.2982456140350877,1.4736842105263157,3.9649122807017543,True,5,3
Lionel Malamed,77447,1948,00,1610612758,ROC,24.0,9,0,0.0,1.3333333333333333,3.4444444444444446,0.387,0.0,0.0,0,0.6666666666666666,0.8888888888888888,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,3.3333333333333335,False,1,1
Theo Maledon,1630177,2020,00,1610612760,OKC,20.0,65,49,27.353846153846153,3.476923076923077,9.446153846153846,0.368,1.6153846153846154,4.815384615384615,0.335,1.5538461538461539,2.076923076923077,0.748,0.38461538461538464,2.8615384615384616,3.246153846153846,3.4923076923076923,0.8615384615384616,0.16923076923076924,2.169230769230769,1.9384615384615385,10.123076923076923,False,4,2
Jeff Malone,117,1983,00,1610612764,WAS,23.0,81,2,24.395061728395063,5.037037037037037,11.333333333333334,0.444,0.2962962962962963,0.9135802469135802,0.324,1.7530864197530864,2.123456790123457,0.826,0.7037037037037037,1.2098765432098766,1.9135802469135803,1.8641975308641976,0.2839506172839506,0.16049382716049382,1.3580246913580247,2.0,12.123456790123457,True,13,7
